year,closed,opened,season_start,date_closed,date_opened,days,start_day,end_day
1855,18 Dec,14 Apr,1855-08-30,1855-12-18,1856-04-14,118,110,228
1856,6 Dec,6 May,1856-08-30,1856-12-06,1857-05-06,151,98,249
1857,25 Nov,26 Mar,1857-08-30,1857-11-25,1858-03-26,121,87,208
1858,8 Dec,14 Mar,1858-08-30,1858-12-08,1859-03-14,96,100,196
1859,7 Dec,26 Mar,1859-08-30,1859-12-07,1860-03-26,110,99,209
1860,14 Dec,10 Apr,1860-08-30,1860-12-14,1861-04-10,117,106,223
1861,2 Dec,13 Apr,1861-08-30,1861-12-02,1862-04-13,132,94,226
1862,26 Dec,9 Apr,1862-08-30,1862-12-26,1863-04-09,104,118,222
1863,18 Dec,21 Apr,1863-08-30,1863-12-18,1864-04-21,125,110,235
1864,8 Dec,5 Apr,1864-08-30,1864-12-08,1865-04-05,118,100,218
1865,14 Dec,18 Apr,1865-08-30,1865-12-14,1866-04-18,125,106,231
1866,18 Dec,20 Apr,1866-08-30,1866-12-18,1867-04-20,123,110,233
1867,12 Dec,31 Mar,1867-08-30,1867-12-12,1868-03-31,110,104,214
1868,10 Dec,16 Apr,1868-08-30,1868-12-10,1869-04-16,127,102,229
1869,2 Dec,12 Apr,1869-08-30,1869-12-02,1870-04-12,131,94,225
1870,24 Dec,2 Apr,1870-08-30,1870-12-24,1871-04-02,99,116,215
1871,19 Dec,23 Apr,1871-08-30,1871-12-19,1872-04-23,126,111,237
1872,30 Nov,23 Apr,1872-08-30,1872-11-30,1873-04-23,144,92,236
1873,29 Nov,14 Apr,1873-08-30,1873-11-29,1874-04-14,136,91,227
1874,10 Dec,15 Apr,1874-08-30,1874-12-10,1875-04-15,126,102,228
1875,10 Jan,10 Apr,1875-08-30,1876-01-10,1876-04-10,91,133,224
1876,8 Dec,17 Apr,1876-08-30,1876-12-08,1877-04-17,130,100,230
1877,6 Jan,9 Mar,1877-08-30,1878-01-06,1878-03-09,62,129,191
1878,21 Dec,12 Apr,1878-08-30,1878-12-21,1879-04-12,112,113,225
1879,17 Dec,25 Mar,1879-08-30,1879-12-17,1880-03-25,99,109,208
1880,23 Nov,3 May,1880-08-30,1880-11-23,1881-05-03,161,85,246
1881,2 Jan,21 Mar,1881-08-30,1882-01-02,1882-03-21,78,125,203
1882,10 Dec,13 Apr,1882-08-30,1882-12-10,1883-04-13,124,102,226
1883,18 Dec,15 Apr,1883-08-30,1883-12-18,1884-04-15,119,110,229
1884,17 Dec,20 Apr,1884-08-30,1884-12-17,1885-04-20,124,109,233
1885,12 Dec,19 Apr,1885-08-30,1885-12-12,1886-04-19,128,104,232
1886,5 Dec,15 Apr,1886-08-30,1886-12-05,1887-04-15,131,97,228
1887,24 Dec,15 Apr,1887-08-30,1887-12-24,1888-04-15,113,116,229
1888,2 Jan,31 Mar,1888-08-30,1889-01-02,1889-03-31,88,125,213
1889,14 Jan,30 Mar,1889-08-30,1890-01-14,1890-03-30,75,137,212
1890,26 Dec,16 Apr,1890-08-30,1890-12-26,1891-04-16,111,118,229
1891,27 Dec,2 Apr,1891-08-30,1891-12-27,1892-04-02,97,119,216
1892,16 Dec,7 Apr,1892-08-30,1892-12-16,1893-04-07,112,108,220
1893,4 Dec,15 Mar,1893-08-30,1893-12-04,1894-03-15,101,96,197
1894,28 Dec,8 Apr,1894-08-30,1894-12-28,1895-04-08,101,120,221
1895,5 Jan,5 Apr,1895-08-30,1896-01-05,1896-04-05,91,128,219
1896,21 Dec,10 Apr,1896-08-30,1896-12-21,1897-04-10,110,113,223
